STATION,NAME,DATE,PRCP,TMAX
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/9/11,0.02,72
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/10/11,0,78
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/11/11,0,83
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/12/11,0,86
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/13/11,0,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/14/11,0.08,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/15/11,0,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/16/11,0,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/17/11,0,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/18/11,0.43,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/19/11,0.24,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/20/11,0,74
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/21/11,0,71
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/22/11,0,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/23/11,0,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/24/11,0.14,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/25/11,0.08,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/26/11,1.21,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/27/11,0.31,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/28/11,0.77,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/29/11,0.06,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",9/30/11,0.09,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/1/11,0,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/2/11,0,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/3/11,0,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/4/11,0,76
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/5/11,0,80
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/6/11,0,81
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/7/11,0,84
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/8/11,0,82
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/9/11,0,80
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/10/11,0,76
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/11/11,0,79
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/12/11,0,78
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/13/11,0.28,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/14/11,0,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/15/11,0,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/16/11,0.17,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/17/11,0,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/18/11,0.06,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/19/11,0.85,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/20/11,0.08,47
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/21/11,0,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/22/11,0,66
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/23/11,0.2,68
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/24/11,0,63
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/25/11,0.02,74
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/26/11,0,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/27/11,0.12,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/28/11,0.03,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/29/11,0,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/30/11,0.17,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",10/31/11,0,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/1/11,0,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/2/11,0.01,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/3/11,0.08,48
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/4/11,0,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/5/11,0,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/6/11,0,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/7/11,0.04,58
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/8/11,1.53,51
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/9/11,0.39,62
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/10/11,0.01,41
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/11/11,0,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/12/11,0,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/13/11,0,70
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/14/11,0.01,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",11/15/11,0,64
